hip,ra_degrees,dec_degrees,k,vmag,angular_diameter_mas
93506,285.65301428,-29.88011429,9250.0,2.6,9.367
93526,285.7270496,-3.69900363,9750.0,5.4,2.3946
93537,285.76584773,-19.24565829,5000.0,5.96,7.0662
93542,285.77846922,-42.09499443,10000.0,4.74,3.05
93552,285.82369335,-38.25318227,7200.0,5.73,3.7381
93574,285.87367886,-68.7555329,6300.0,5.89,4.5255
93580,285.88432906,1.81893472,9000.0,5.82,2.289
93624,285.98967365,-51.01824471,5000.0,5.93,7.1001
93667,286.10439624,-31.04703255,10000.0,5.49,2.1851
93683,286.17055765,-21.74135451,5000.0,3.76,19.0466
93713,286.22987335,53.39660317,10000.0,5.4,2.2699
93717,286.24024804,-4.03135505,4850.0,5.4,9.6431
93718,286.24093053,31.74425746,3500.0,5.63,16.7341
93747,286.3525518,13.86370983,10000.0,2.99,6.6792
93763,286.4215809,-15.66039343,14000.0,5.93,0.9124
93805,286.56229139,-4.88233456,12000.0,3.43,3.8393
93815,286.58301929,-52.34063012,6450.0,5.17,6.0062
93825,286.60433158,-37.06275714,6450.0,4.23,8.9122
93843,286.65701713,28.6283896,7500.0,5.53,3.7427
93845,286.65983699,24.25075812,9000.0,5.78,2.3513
93862,286.73164713,-48.29911462,10000.0,5.95,1.762
93864,286.73517629,-27.66981416,4850.0,3.32,24.6985
93867,286.74418054,11.07130501,14000.0,5.07,1.3521
93903,286.82553958,36.10016754,18000.0,5.25,0.7548
93917,286.85623123,32.50166027,7500.0,5.2,4.3564
93996,287.06958032,-19.29028615,26000.0,5.56,0.3142
94005,287.08722077,-40.4966376,4850.0,4.57,14.0092
94013,287.10785255,52.42586424,4850.0,5.88,7.6978
94068,287.24965607,6.07339716,7500.0,5.23,4.304
94083,287.29061868,76.56079335,7750.0,5.11,4.2002
94114,287.36782635,-37.90423953,10000.0,4.11,4.0459
94141,287.44097404,-21.02352534,7200.0,2.88,14.0019
94150,287.46925968,-68.42434424,5200.0,5.31,8.5927
94157,287.4902249,-41.89222924,20000.0,5.86,0.4616
94160,287.50730185,-39.34070677,5000.0,4.1,16.5708
94302,287.91883762,56.85909594,5200.0,5.13,9.5038
94311,287.94171276,31.2834636,12000.0,5.93,1.2424
94336,288.02173147,49.85423807,5600.0,5.85,5.7004
94376,288.13814581,67.66131695,5100.0,3.07,24.9215
94385,288.16959861,-7.93950077,24000.0,5.35,0.406
94434,288.306957,-25.90676384,4700.0,5.79,8.654
94437,288.31464939,-12.28250973,4550.0,5.51,10.4603
94477,288.42791464,2.2937137,14000.0,5.14,1.311
94481,288.43953645,39.14596968,26000.0,4.43,0.5282
94490,288.47985288,57.70525514,4700.0,5.0,12.2194
94556,288.6646739,-45.19343079,5200.0,5.91,6.6261
94620,288.82224652,21.23209944,9000.0,5.65,2.4953
94624,288.8337071,15.08367864,5200.0,5.58,7.7582
94630,288.8534831,30.52644519,3500.0,5.88,14.9594
94643,288.88498822,-25.25660677,5000.0,4.86,11.6366
94648,288.8887238,73.35521457,4550.0,4.45,16.7694
94703,289.05433156,21.39044277,22000.0,4.76,0.6334
94712,289.09059981,-45.46606262,4550.0,5.38,11.1019
94713,289.09206426,38.13372778,5000.0,4.35,14.8012
94720,289.11159428,14.54461509,12000.0,5.65,1.4057
94727,289.12926242,4.83482079,9250.0,5.59,2.4389
94779,289.27545794,53.36816064,5000.0,3.8,18.6417
94789,289.30091657,-66.66103756,9000.0,5.52,2.6472
94820,289.40868994,-18.95288215,5000.0,4.88,11.5741
94827,289.43181365,23.02554904,30000.0,5.46,0.2472
94834,289.45416014,11.59539126,7500.0,5.28,4.2716
94885,289.63537019,1.08508548,4700.0,5.1,11.8073
94982,289.91393971,12.37463918,7500.0,5.53,3.8007
94986,289.91662081,-35.42142487,22000.0,5.59,0.433
95038,290.06668355,57.64511743,3350.0,5.91,16.0836
95066,290.13682588,-5.41587489,5200.0,4.98,10.0643
95073,290.14867994,-0.89216854,12000.0,5.46,1.5379
95077,290.15898277,-22.40260314,8500.0,5.59,2.8547
95081,290.16696656,65.7144303,9500.0,4.6,3.6164
